Metabolite,F_statistic,p_value,p_adjusted,Significant,VIP_Score
Emodin,4.628266569972194,0.012908897787647792,0.03006828631025278,True,1.0736011682655275
L-Histidine,4.622791066767808,0.012967966717210804,0.03008358270834733,True,1.071156053083937
4-Quinolinecarboxylic_acid,4.6161001259363665,0.0130405485579643,0.030129977111748165,True,1.1664243697190193
(2S)-Liquiritigenin,4.556820548142469,0.013703321072749828,0.031531039224086996,True,0.6686681217845464
D-Tryptophan,4.552157244935317,0.013756997916268322,0.031531039224086996,True,0.41444569741228443
Asymmetric_dimethylarginine,4.5112448858556995,0.014237880052226225,0.03250320824671565,True,0.9983018372102094
Alpha-D-Glucose,4.489685508690994,0.014498644879653733,0.03296715680968884,True,0.5403196594948041
N-Acetylneuraminic_acid,4.344496380638945,0.016396481017798576,0.03713511313517227,True,0.7081941593793734
(-)-Jasmonic_acid,4.290024540282634,0.017177063597855136,0.038749832447129894,True,0.7878564967720686
Subaphylline,4.181022210234406,0.018863577943730177,0.04228656593444726,True,1.0846717219824278
"9,10-Epoxyoctadecenoic_acid",4.179038144279133,0.018895902304762565,0.04228656593444726,True,0.592614358218676
D-Glutamine,4.174734438424345,0.018966225907771285,0.04228656593444726,True,1.026610982460857
4-Acetamido-2-aminobutanoic_acid,4.163213220189668,0.019155893384615142,0.042543902749552234,True,1.1001561400803943
Imperatorin,4.128069242794258,0.01974733500339217,0.0436881195248792,True,1.159255116628838
Phenacetin,4.026564678046593,0.021570211262053537,0.04753742712752568,True,0.7236126470306168
Bufotenin,4.019607071897003,0.021701708821644364,0.04764398143602384,True,0.49404474373175317
(S)-2-Methylmalate,3.9763976146552515,0.022538166268826723,0.049223551163732226,True,0.12032080268415454
Syringic_acid,3.973625838817621,0.02259300864932212,0.049223551163732226,True,1.0752903653028574
2-Naphthylamine,3.8622346625647204,0.024921914418026263,0.05409188243003428,False,1.1453306253503979
Hydroquinone,3.8429186602829275,0.025351731045586988,0.05463121011071798,False,0.8927182682030983
Phthalic_acid,3.842502250187376,0.025361085321903985,0.05463121011071798,False,1.1220263103540113
Apigenin,3.828852370658927,0.02566980678594621,0.05508913591141266,False,0.40320358606448614
CMP,3.8174983302570475,0.025929719382644264,0.05543928808304166,False,1.0364192038522786
